Location,Price,Rooms,Bathrooms,Car Parks,Property Type,Size,Furnishing
"Segambut, Kuala Lumpur","668,000",3,3,2,2-sty Terrace/Link House (Intermediate),880,Fully Furnished
"Bangsar, Kuala Lumpur","5,200,000",5,5,8,Bungalow,12250,Partly Furnished
"Bangsar, Kuala Lumpur","5,500,000",5,5,4,Bungalow (Corner),9300,Partly Furnished
"Taman Tun Dr Ismail, Kuala Lumpur","1,790,000",4,3,2,2-sty Terrace/Link House (Intermediate),2090,Partly Furnished
"Taman Tun Dr Ismail, Kuala Lumpur","3,000,000",3,2,2,1-sty Terrace/Link House (Intermediate),5700,Partly Furnished
"Bangsar, Kuala Lumpur","5,750,000",5,4,5,Bungalow,7200,Partly Furnished
"Kepong, Kuala Lumpur","3,380,000",5,4,2,Semi-detached House (Intermediate),4050,Partly Furnished
"Cheras, Kuala Lumpur","2,850,000",5,5,2,Bungalow (Intermediate),10400,Partly Furnished
"Wangsa Maju, Kuala Lumpur","590,000",3,2,2,2-sty Terrace/Link House (Intermediate),880,Partly Furnished
"Setapak, Kuala Lumpur","590,000",3,3,1,2-sty Terrace/Link House (Intermediate),880,Partly Furnished
"KLCC, Kuala Lumpur","3,600,000",5,5,2,Serviced Residence (Corner),3897,Partly Furnished
"Cheras, Kuala Lumpur","1,900,000",5,3,6,Bungalow (Intermediate),10350,Partly Furnished
"City Centre, Kuala Lumpur","8,000,000",5,5,2,Bungalow (Intermediate),10600,Unknown
"Wangsa Maju, Kuala Lumpur","520,000",3,2,1,2-sty Terrace/Link House (Intermediate),880,Partly Furnished
"Setapak, Kuala Lumpur","590,000",3,2,1,2-sty Terrace/Link House (Intermediate),880,Partly Furnished
"Desa ParkCity, Kuala Lumpur","2,800,000",4,4,2,3-sty Terrace/Link House (Intermediate),1302,Partly Furnished
"Desa ParkCity, Kuala Lumpur","5,500,000",7,8,2,3.5-sty Terrace/Link House (Intermediate),2805,Partly Furnished
"Desa ParkCity, Kuala Lumpur","2,300,000",4,3,2,2-sty Terrace/Link House (Intermediate),1826,Partly Furnished
"Kepong, Kuala Lumpur","680,000",3,3,2,2-sty Terrace/Link House (Intermediate),950,Unfurnished
"Desa ParkCity, Kuala Lumpur","3,600,000",6,6,2,Semi-detached House (Corner),5850,Partly Furnished
"Wangsa Maju, Kuala Lumpur","699,000",4,3,2,2-sty Terrace/Link House (Intermediate),1080,Unfurnished
"Wangsa Maju, Kuala Lumpur","668,000",4,3,2,2-sty Terrace/Link House (Intermediate),1080,Unfurnished
"Wangsa Maju, Kuala Lumpur","680,000",3,3,2,2-sty Terrace/Link House (Intermediate),1080,Partly Furnished
"Damansara Heights, Kuala Lumpur","4,280,000",5,6,2,Bungalow (Corner),6600,Partly Furnished
"Kepong, Kuala Lumpur","570,000",4,3,3,2-sty Terrace/Link House (Intermediate),1170,Partly Furnished
"Pandan Indah, Kuala Lumpur","828,000",4,2,2,2-sty Terrace/Link House,1170,Partly Furnished
"Desa ParkCity, Kuala Lumpur","8,300,000",5,6,4,Bungalow,6900,Partly Furnished
"Taman Melawati, Kuala Lumpur","650,000",4,3,2,2-sty Terrace/Link House,1260,Partly Furnished
"Sungai Besi, Kuala Lumpur","1,600,000",5,6,4,3-sty Terrace/Link House (EndLot),1930,Partly Furnished
"Desa ParkCity, Kuala Lumpur","1,880,000",4,4,2,2-sty Terrace/Link House (Intermediate),1500,Partly Furnished
"Sri Petaling, Kuala Lumpur","1,000,000",5,5,2,3-sty Terrace/Link House (Intermediate),1080,Unknown
"Cheras, Kuala Lumpur","615,000",4,3,2,2-sty Terrace/Link House,1200,Partly Furnished
"Jalan Klang Lama (Old Klang Road), Kuala Lumpur","2,080,000",5,3,2,Bungalow (Intermediate),7600,Partly Furnished
"Bukit Jalil, Kuala Lumpur","425,000",4,2,1,Condominium (Intermediate),1087,Partly Furnished
"Mont Kiara, Kuala Lumpur","618,000",1,1,1,Serviced Residence (Intermediate),650,Fully Furnished
"Kepong, Kuala Lumpur","630,000",4,2,2,2-sty Terrace/Link House (Intermediate),1200,Partly Furnished
"Desa ParkCity, Kuala Lumpur","2,800,000",5,4,3,2-sty Terrace/Link House (EndLot),2850,Partly Furnished
"Taman Tun Dr Ismail, Kuala Lumpur","3,100,000",5,4,3,Semi-detached House,3600,Partly Furnished
"Jalan Ipoh, Kuala Lumpur","450,000",4,2,2,Townhouse (Intermediate),1280,Partly Furnished
"Taman Tun Dr Ismail, Kuala Lumpur","1,450,000",3,2,2,1-sty Terrace/Link House (Intermediate),1920,Fully Furnished
"Kepong, Kuala Lumpur","490,000",5,3,2,1.5-sty Terrace/Link House (Intermediate),1300,Partly Furnished
"Kepong, Kuala Lumpur","688,000",3,2,2,1-sty Terrace/Link House (Intermediate),1300,Partly Furnished
"Sungai Besi, Kuala Lumpur","600,000",3,2,2,Serviced Residence (Intermediate),1025,Partly Furnished
"Jalan Klang Lama (Old Klang Road), Kuala Lumpur","660,000",3,2,2,Condominium (Corner),992,Partly Furnished
"Damansara Heights, Kuala Lumpur","4,000,000",5,5,2,Semi-detached House (Intermediate),3700,Partly Furnished
"Kepong, Kuala Lumpur","530,000",3,2,2,1-sty Terrace/Link House (Intermediate),1300,Partly Furnished
"Setapak, Kuala Lumpur","3,000,000",5,4,4,Bungalow,8000,Partly Furnished
"Taman Desa, Kuala Lumpur","3,690,000",5,5,6,Semi-detached House,3658,Unfurnished
"Sri Petaling, Kuala Lumpur","950,000",5,3,2,2-sty Terrace/Link House (Intermediate),1650,Partly Furnished
"Taman Desa, Kuala Lumpur","6,300,000",5,4,4,Bungalow (Intermediate),7200,Partly Furnished
"Sungai Besi, Kuala Lumpur","2,250,000",6,5,7,3-sty Terrace/Link House (Corner),2440,Partly Furnished
"Cheras, Kuala Lumpur","370,000",3,2,2,1-sty Terrace/Link House (Intermediate),1300,Unfurnished
"Taman Desa, Kuala Lumpur","3,800,000",5,4,2,Bungalow,5554,Partly Furnished
"Taman Tun Dr Ismail, Kuala Lumpur","6,000,000",5,4,2,Bungalow,8000,Partly Furnished
"Bangsar, Kuala Lumpur","18,000,000",6,7,6,Bungalow (Intermediate),15000,Partly Furnished
"Bandar Damai Perdana, Kuala Lumpur","619,999",4,3,2,2-sty Terrace/Link House (Intermediate),1300,Partly Furnished
"Bangsar, Kuala Lumpur","8,300,000",6,7,1,Bungalow,13217,Partly Furnished
"Setapak, Kuala Lumpur","600,000",3,1,2,1-sty Terrace/Link House (Intermediate),1300,Unfurnished
"Cheras, Kuala Lumpur","650,000",5,3,2,2-sty Terrace/Link House (Intermediate),1300,Partly Furnished
"Kepong, Kuala Lumpur","530,000",3,2,1,1-sty Terrace/Link House (Intermediate),1300,Unfurnished
"KLCC, Kuala Lumpur","1,550,000",2,2,2,Serviced Residence (Corner),910,Fully Furnished
"Kepong, Kuala Lumpur","950,000",4,3,2,2-sty Terrace/Link House (Intermediate),1400,Partly Furnished
"Kepong, Kuala Lumpur","1,080,000",6,4,2,2.5-sty Terrace/Link House (Intermediate),1400,Unfurnished
"Sungai Besi, Kuala Lumpur","2,200,000",5,5,5,Semi-detached House (Intermediate),3282,Partly Furnished
"Bukit Jalil, Kuala Lumpur","4,500,000",6,5,4,Bungalow (Intermediate),7000,Fully Furnished
"Cheras, Kuala Lumpur","2,980,000",6,6,2,Bungalow (Intermediate),7057,Unfurnished
"Bukit Jalil, Kuala Lumpur","800,000",3,2,2,Serviced Residence (Intermediate),1400,Partly Furnished
"Kepong, Kuala Lumpur","1,180,000",6,6,2,2.5-sty Terrace/Link House,1400,Partly Furnished
"Kepong, Kuala Lumpur","760,000",4,3,2,2-sty Terrace/Link House (Intermediate),1400,Partly Furnished
"KL Sentral, Kuala Lumpur","2,434,900",4,4,1,Serviced Residence,1873,Unfurnished
"Taman Melawati, Kuala Lumpur","2,000,000",6,6,3,Semi-detached House (Intermediate),3200,Partly Furnished
"Kepong, Kuala Lumpur","1,100,000",6,4,2,3-sty Terrace/Link House (Intermediate),1400,Partly Furnished
"Kepong, Kuala Lumpur","490,000",4,2,2,1-sty Terrace/Link House (Intermediate),1400,Partly Furnished
"Setapak, Kuala Lumpur","550,000",2,2,2,1-sty Terrace/Link House (Intermediate),1400,Fully Furnished
"Country Heights Damansara, Kuala Lumpur","10,800,000",6,11,2,Bungalow (Intermediate),11700,Partly Furnished
"Kepong, Kuala Lumpur","918,000",4,3,2,2-sty Terrace/Link House (Intermediate),1400,Partly Furnished
"Damansara Heights, Kuala Lumpur","6,800,000",6,7,2,Bungalow,6900,Partly Furnished
"Damansara Heights, Kuala Lumpur","4,200,000",6,5,5,Bungalow,5274,Partly Furnished
"Damansara Heights, Kuala Lumpur","6,500,000",6,5,4,Bungalow,7200,Partly Furnished
"Kepong, Kuala Lumpur","1,100,000",7,4,3,2.5-sty Terrace/Link House (Intermediate),1400,Partly Furnished
"Kepong, Kuala Lumpur","1,100,000",6,4,2,2.5-sty Terrace/Link House (Penthouse),1400,Partly Furnished
"Pantai, Kuala Lumpur","570,000",3,2,1,Condominium (Corner),1200,Partly Furnished
"Cheras, Kuala Lumpur","680,000",4,3,2,2-sty Terrace/Link House (Intermediate),1400,Unfurnished
"Sungai Besi, Kuala Lumpur","1,100,000",5,4,2,3-sty Terrace/Link House (Intermediate),1400,Partly Furnished
"Desa ParkCity, Kuala Lumpur","2,200,000",6,5,2,2-sty Terrace/Link House,2200,Unknown
"Kepong, Kuala Lumpur","1,090,000",6,5,2,3-sty Terrace/Link House (Intermediate),1400,Partly Furnished
"Kepong, Kuala Lumpur","920,000",4,3,2,2-sty Terrace/Link House (Intermediate),1400,Partly Furnished
"Damansara Heights, Kuala Lumpur","3,200,000",5,5,4,Semi-detached House (EndLot),3670,Partly Furnished
"Taman Tun Dr Ismail, Kuala Lumpur","1,950,000",4,2,3,2-sty Terrace/Link House (Corner),3700,Partly Furnished
"Damansara, Kuala Lumpur","9,700,000",6,6,10,Bungalow,81000,Partly Furnished
"Kepong, Kuala Lumpur","2,660,000",6,5,6,Bungalow (Corner),5000,Partly Furnished
"Bangsar, Kuala Lumpur","5,000,000",6,6,4,Semi-detached House,4800,Partly Furnished
"Taman Desa, Kuala Lumpur","3,700,000",5,5,6,Semi-detached House (Intermediate),3040,Partly Furnished
"Mont Kiara, Kuala Lumpur","4,860,000",6,6,4,Bungalow,8231,Partly Furnished
"Seputeh, Kuala Lumpur","2,500,000",6,5,6,Bungalow (Corner),7720,Unfurnished
"Seputeh, Kuala Lumpur","5,500,000",6,5,2,Bungalow (Intermediate),5442,Partly Furnished
"Taman Desa, Kuala Lumpur","3,688,000",5,5,5,4.5-sty Terrace/Link House (Intermediate),1367,Partly Furnished
"Kepong, Kuala Lumpur","958,000",4,3,2,2-sty Terrace/Link House (Intermediate),1400,Partly Furnished
"Sri Hartamas, Kuala Lumpur","7,300,000",6,6,6,Bungalow (Corner),7300,Partly Furnished
"Wangsa Maju, Kuala Lumpur","500,000",3,2,1,2-sty Terrace/Link House (Intermediate),880,Partly Furnished
"Kepong, Kuala Lumpur","848,000",4,3,2,2-sty Terrace/Link House (Intermediate),1400,Partly Furnished
"Sungai Besi, Kuala Lumpur","2,153,508",5,4,2,3-sty Terrace/Link House (Intermediate),1500,Fully Furnished
"Mont Kiara, Kuala Lumpur","645,000",1,1,1,Serviced Residence,462,Fully Furnished
"Sungai Besi, Kuala Lumpur","1,030,000",5,4,2,2.5-sty Terrace/Link House,1500,Partly Furnished
"Desa ParkCity, Kuala Lumpur","1,849,000",4,4,2,2-sty Terrace/Link House,1500,Partly Furnished
"Desa ParkCity, Kuala Lumpur","2,800,000",5,4,3,2-sty Terrace/Link House (EndLot),2850,Partly Furnished
"Desa ParkCity, Kuala Lumpur","1,930,000",4,4,2,2-sty Terrace/Link House (Intermediate),1500,Partly Furnished
"Bangsar, Kuala Lumpur","1,590,000",5,3,2,2-sty Terrace/Link House (Intermediate),1900,Unfurnished
"OUG, Kuala Lumpur","2,398,000",5,3,8,Semi-detached House,5000,Fully Furnished
"Taman Tun Dr Ismail, Kuala Lumpur","5,350,000",6,5,3,Bungalow,7200,Partly Furnished
"Bangsar, Kuala Lumpur","2,900,000",5,3,4,2-sty Terrace/Link House (EndLot),3254,Partly Furnished
"Cheras, Kuala Lumpur","690,000",4,3,2,2-sty Terrace/Link House (Intermediate),1200,Partly Furnished
"Taman Tun Dr Ismail, Kuala Lumpur","5,300,000",6,4,4,Bungalow (Corner),6860,Partly Furnished
"Ampang, Kuala Lumpur","3,680,000",7,8,4,Bungalow (Corner),6300,Unfurnished
"Bangsar, Kuala Lumpur","4,900,000",7,4,4,Bungalow (Intermediate),11676,Partly Furnished
"Sri Petaling, Kuala Lumpur","2,400,000",5,5,6,Semi-detached House (Intermediate),4000,Partly Furnished
"Desa ParkCity, Kuala Lumpur","3,790,000",8,6,2,Semi-detached House (Corner),3500,Partly Furnished
"Cheras, Kuala Lumpur","580,000",4,2,3,1.5-sty Terrace/Link House (Intermediate),1500,Partly Furnished
"Desa ParkCity, Kuala Lumpur","1,990,000",4,4,2,2-sty Terrace/Link House (Intermediate),1650,Partly Furnished
"Sri Hartamas, Kuala Lumpur","1,480,000",4,3,2,2-sty Terrace/Link House (Intermediate),1500,Partly Furnished
"Sungai Besi, Kuala Lumpur","999,000",5,4,2,3-sty Terrace/Link House (Intermediate),1500,Partly Furnished
"Sungai Besi, Kuala Lumpur","1,080,000",5,4,2,3-sty Terrace/Link House (Intermediate),1500,Fully Furnished
"Bangsar, Kuala Lumpur","2,900,000",7,3,4,2-sty Terrace/Link House (EndLot),3400,Partly Furnished
"Cheras, Kuala Lumpur","3,699,000",7,7,2,Bungalow,9978,Partly Furnished
"Cheras, Kuala Lumpur","4,300,000",7,9,4,Bungalow (Intermediate),5000,Fully Furnished
"Country Heights Damansara, Kuala Lumpur","8,000,000",7,7,6,Bungalow (Corner),10600,Partly Furnished
"Country Heights Damansara, Kuala Lumpur","11,800,000",7,8,6,Bungalow (Corner),8622,Fully Furnished
"Country Heights Damansara, Kuala Lumpur","11,800,000",7,8,4,Bungalow (Intermediate),8622,Partly Furnished
"Country Heights Damansara, Kuala Lumpur","11,800,000",7,8,6,Bungalow,8622,Partly Furnished
"Desa ParkCity, Kuala Lumpur","1,830,000",4,3,2,2-sty Terrace/Link House (Intermediate),1650,Partly Furnished
"Sungai Besi, Kuala Lumpur","1,050,000",5,4,2,3-sty Terrace/Link House (Intermediate),1500,Partly Furnished
"Sungai Besi, Kuala Lumpur","1,200,000",5,4,2,3-sty Terrace/Link House (Intermediate),1500,Fully Furnished
"Country Heights Damansara, Kuala Lumpur","11,800,000",7,8,10,Bungalow,8618,Partly Furnished
"Sungai Besi, Kuala Lumpur","1,150,000",5,4,2,3-sty Terrace/Link House (Intermediate),1500,Fully Furnished
"Mont Kiara, Kuala Lumpur","1,470,000",3,2,2,Condominium (Corner),1200,Fully Furnished
"Taman Melawati, Kuala Lumpur","550,000",3,2,2,1-sty Terrace/Link House (Intermediate),1500,Partly Furnished
"Sungai Besi, Kuala Lumpur","2,000,000",5,6,6,Semi-detached House (Corner),2100,Partly Furnished
"Kepong, Kuala Lumpur","1,880,000",4,4,2,2-sty Terrace/Link House,1500,Partly Furnished
"Damansara Heights, Kuala Lumpur","3,600,000",7,7,5,Bungalow,5000,Unfurnished
"Seputeh, Kuala Lumpur","1,290,000",5,4,2,2.5-sty Terrace/Link House (Intermediate),1560,Partly Furnished
"Sungai Besi, Kuala Lumpur","1,000,000",5,4,2,3-sty Terrace/Link House (Intermediate),1600,Partly Furnished
"Setapak, Kuala Lumpur","790,000",4,3,2,2-sty Terrace/Link House (Intermediate),1600,Partly Furnished
"Damansara Heights, Kuala Lumpur","2,500,000",4,3,3,2-sty Terrace/Link House (Corner),2800,Partly Furnished
"Damansara Heights, Kuala Lumpur","3,000,000",5,4,4,Semi-detached House,3550,Partly Furnished
"Damansara Heights, Kuala Lumpur","18,000,000",7,7,6,Bungalow,16000,Fully Furnished
"Kepong, Kuala Lumpur","730,000",4,3,2,2-sty Terrace/Link House (Intermediate),1600,Partly Furnished
"Sungai Besi, Kuala Lumpur","1,050,000",5,4,2,3-sty Terrace/Link House (Intermediate),1600,Unfurnished
"Damansara Heights, Kuala Lumpur","5,000,000",7,6,2,Bungalow,6780,Fully Furnished
"Sungai Besi, Kuala Lumpur","1,350,000",6,5,2,3-sty Terrace/Link House (Intermediate),1600,Fully Furnished
"Taman Tun Dr Ismail, Kuala Lumpur","1,590,000",4,3,2,2-sty Terrace/Link House (Intermediate),1700,Unfurnished
"Damansara Heights, Kuala Lumpur","7,000,000",7,6,6,Bungalow (Intermediate),7680,Partly Furnished
"Damansara Heights, Kuala Lumpur","4,300,000",4,2,3,Semi-detached House,5177,Partly Furnished
"Bangsar, Kuala Lumpur","2,100,000",5,3,2,2-sty Terrace/Link House (Intermediate),1875,Partly Furnished
"Damansara Heights, Kuala Lumpur","4,680,000",6,4,4,Semi-detached House,3800,Partly Furnished
"Damansara Heights, Kuala Lumpur","2,153,508",7,4,7,Bungalow,15800,Partly Furnished
"Taman Tun Dr Ismail, Kuala Lumpur","2,600,000",5,3,3,Semi-detached House (Intermediate),3600,Partly Furnished
"Desa ParkCity, Kuala Lumpur","6,300,000",7,7,10,Bungalow (Intermediate),7300,Partly Furnished
"Taman Tun Dr Ismail, Kuala Lumpur","1,890,000",5,2,2,2-sty Terrace/Link House (Intermediate),1900,Partly Furnished
"Taman Tun Dr Ismail, Kuala Lumpur","1,690,000",4,3,2,2-sty Terrace/Link House (Intermediate),1900,Partly Furnished
"Cheras, Kuala Lumpur","849,000",4,3,4,2-sty Terrace/Link House (Intermediate),1470,Partly Furnished
"Jalan Klang Lama (Old Klang Road), Kuala Lumpur","3,200,000",7,6,2,Bungalow (Corner),6000,Partly Furnished
"Cheras, Kuala Lumpur","285,000",3,2,1,Apartment,748,Partly Furnished
"Jalan Klang Lama (Old Klang Road), Kuala Lumpur","3,880,000",7,5,2,Bungalow (Corner),6000,Partly Furnished
"Mont Kiara, Kuala Lumpur","3,090,000",6,6,2,2.5-sty Terrace/Link House (Intermediate),2800,Partly Furnished
"Kepong, Kuala Lumpur","900,000",4,3,2,2-sty Terrace/Link House (Intermediate),1470,Partly Furnished
"Segambut, Kuala Lumpur","3,600,000",7,7,2,Bungalow (Intermediate),4556,Unfurnished
"Desa ParkCity, Kuala Lumpur","1,980,000",4,3,2,2-sty Terrace/Link House (Intermediate),1650,Partly Furnished
"Desa ParkCity, Kuala Lumpur","2,370,000",5,5,2,3-sty Terrace/Link House (Intermediate),1650,Partly Furnished
"Desa ParkCity, Kuala Lumpur","2,200,000",5,4,3,2-sty Terrace/Link House (Intermediate),2200,Partly Furnished
"Desa ParkCity, Kuala Lumpur","1,990,000",6,6,2,2-sty Terrace/Link House,2200,Fully Furnished
"Desa ParkCity, Kuala Lumpur","2,400,000",6,4,3,2-sty Terrace/Link House (Intermediate),2200,Partly Furnished
"Desa ParkCity, Kuala Lumpur","2,500,000",6,6,2,2-sty Terrace/Link House (Intermediate),2200,Unknown
"Bangsar, Kuala Lumpur","2,400,000",5,3,2,2-sty Terrace/Link House (Intermediate),2125,Partly Furnished
"Sri Petaling, Kuala Lumpur","1,150,000",4,3,2,2-sty Terrace/Link House (Intermediate),2200,Fully Furnished
"Sri Petaling, Kuala Lumpur","950,000",4,3,2,2-sty Terrace/Link House,2200,Fully Furnished
"Sri Petaling, Kuala Lumpur","800,000",4,3,2,1.5-sty Terrace/Link House (Intermediate),2200,Fully Furnished
"Cheras, Kuala Lumpur","1,130,000",5,4,4,3-sty Terrace/Link House (Intermediate),990,Unfurnished
"KL Eco City, Kuala Lumpur","1,804,275",3,2,2,Condominium (Duplex),1647,Partly Furnished
"Desa ParkCity, Kuala Lumpur","2,600,000",5,5,2,2-sty Terrace/Link House (Corner),2000,Partly Furnished
"Desa ParkCity, Kuala Lumpur","2,500,000",4,5,3,3-sty Terrace/Link House (EndLot),1364,Partly Furnished
"Desa ParkCity, Kuala Lumpur","3,600,000",4,5,2,2-sty Terrace/Link House,5000,Partly Furnished
"Sri Petaling, Kuala Lumpur","3,500,000",7,7,4,Bungalow (Intermediate),4200,Fully Furnished
"Kepong, Kuala Lumpur","670,000",3,2,2,1-sty Terrace/Link House (Intermediate),1430,Partly Furnished
"Desa ParkCity, Kuala Lumpur","12,350,000",4,2,2,Residential Land,19000,Fully Furnished
"Desa ParkCity, Kuala Lumpur","5,670,000",4,2,2,Residential Land,9000,Fully Furnished
"Taman Melawati, Kuala Lumpur","3,300,000",7,7,2,Bungalow (Corner),5583,Unfurnished
"Kepong, Kuala Lumpur","450,000",3,2,2,1-sty Terrace/Link House,1430,Partly Furnished
"Desa ParkCity, Kuala Lumpur","4,690,000",4,2,2,Residential Land,6700,Fully Furnished
"Ampang, Kuala Lumpur","4,990,000",8,7,6,Bungalow,12000,Partly Furnished
"Bangsar, Kuala Lumpur","18,000,000",8,7,2,Bungalow (Intermediate),15000,Partly Furnished
"Taman Tun Dr Ismail, Kuala Lumpur","2,780,000",5,3,2,Semi-detached House,3600,Partly Furnished
"Cheras, Kuala Lumpur","2,500,000",8,7,2,Bungalow,6000,Fully Furnished
"Kepong, Kuala Lumpur","580,000",3,2,2,1-sty Terrace/Link House (Intermediate),1430,Unfurnished
"Bandar Menjalara, Kuala Lumpur","850,000",4,3,2,2-sty Terrace/Link House,1760,Partly Furnished
"Bandar Menjalara, Kuala Lumpur","560,000",3,2,2,2-sty Terrace/Link House,770,Partly Furnished
"City Centre, Kuala Lumpur","2,300,000",3,3,2,Serviced Residence (Corner),1614,Partly Furnished
"Kepong, Kuala Lumpur","580,000",3,2,2,1-sty Terrace/Link House (Intermediate),1430,Partly Furnished
"Kepong, Kuala Lumpur","550,000",4,2,2,1-sty Terrace/Link House (Intermediate),1430,Unfurnished
"Kepong, Kuala Lumpur","748,000",3,2,2,1-sty Terrace/Link House (Intermediate),1430,Partly Furnished
"Kepong, Kuala Lumpur","568,000",3,2,2,1-sty Terrace/Link House (Intermediate),1430,Partly Furnished
"Kepong, Kuala Lumpur","548,000",3,2,2,1-sty Terrace/Link House (Intermediate),1430,Unfurnished
"Country Heights Damansara, Kuala Lumpur","10,000,000",9,10,8,Bungalow (Corner),11700,Partly Furnished
"Kepong, Kuala Lumpur","748,000",3,2,2,1-sty Terrace/Link House,1430,Partly Furnished
"Kepong, Kuala Lumpur","640,000",3,2,2,1-sty Terrace/Link House (Intermediate),1430,Unfurnished
"Bandar Damai Perdana, Kuala Lumpur","656,000",4,3,2,2-sty Terrace/Link House (Intermediate),1496,Partly Furnished
"Desa ParkCity, Kuala Lumpur","2,100,000",4,4,3,2-sty Terrace/Link House (Intermediate),1540,Partly Furnished
"Desa ParkCity, Kuala Lumpur","3,200,000",5,6,5,3-sty Terrace/Link House (Corner),1991,Partly Furnished
"Kepong, Kuala Lumpur","688,000",3,2,2,1-sty Terrace/Link House (Intermediate),1540,Unfurnished
"Kepong, Kuala Lumpur","680,000",3,2,2,1-sty Terrace/Link House (Intermediate),1540,Partly Furnished
"Cheras, Kuala Lumpur","1,000,000",4,4,2,2-sty Terrace/Link House (Intermediate),1540,Partly Furnished
"Kepong, Kuala Lumpur","920,000",4,3,4,2-sty Terrace/Link House (EndLot),1540,Partly Furnished
"City Centre, Kuala Lumpur","860,000",4,3,2,2-sty Terrace/Link House (Intermediate),1540,Unfurnished
"Kepong, Kuala Lumpur","750,000",3,2,2,1-sty Terrace/Link House (Intermediate),1540,Partly Furnished
"Ampang, Kuala Lumpur","1,680,000",4,4,2,Semi-detached House,3200,Unfurnished
